CODIGO_UNICO,NOMBRE_INVERSION,PROVINCIA,DISTRITO,LATITUD,LONGITUD,TIPO_COORDENADA,EPS_PRESTACION,TIENE_EPS_PRESTACION,DENTRO_EPS,CATEGORIA_COORD
2641815,"REPARACION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN EL(LA) SECTOR CURANCURANI DE LA COMUNIDAD DE PERCA DEL  DISTRITO DE KELLUYO, PROVINCIA CHUCUITO, DEPARTAMENTO PUNO",CHUCUITO,KELLUYO,-16.81685005469646,-69.30958406065925,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2708532,"RENOVACION DE ALCANTARILLADO PLUVIAL EN EL(LA) LOCALIDAD DE PLATERIA (PUNTOS CRITICOS) Y DOS EN LA COMUNIDAD DE PALLALLA Y COMUNIDAD POTOJANI CHICO DISTRITO DE PLATERIA, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PLATERIA,-15.939247486372397,-69.79983603102549,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2702682,"REPARACION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE Y CONEXION DOMICILIARIA DE ALCANTARILLADO EN EL(LA) BARRIO BELLAVISTA  DISTRITO DE OLLACHEA, PROVINCIA CARABAYA, DEPARTAMENTO PUNO",CARABAYA,OLLACHEA,-13.795085362068187,-70.4733149758016,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2695013,"CONSTRUCCION DE CAPTACION DE AGUA  EN EL(LA) SISTEMA DE AGUA POTABLE Y LA CONSTRUCCION DE ESTACION DE BOMBEO Y LINEA DE IMPULSION EN EL CENTRO POBLADO CHICA BOTIJA, DISTRITO DE PLATERIA, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PLATERIA,-15.981560704195235,-69.84423714086013,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2694698,MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE RURAL Y MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL SISTEMA AGUA  POTABLE Y SISTEMA DE ALCANTARILLADO EN LA COMUNIDAD CAMPESINA DE HUARACHANI   DISTRITO DE COASA DE LA PROVINCIA DE CARABAYA DEL DEPARTAMENTO DE PUNO,CARABAYA,COASA,-14.015902481077315,-70.08825393963427,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2724038,"ADQUISICION DE SISTEMA DE BOMBEO EN EL(LA) COMUNIDAD DE COLLANA  DISTRITO DE DESAGUADERO, PROVINCIA CHUCUITO, DEPARTAMENTO PUNO",CHUCUITO,DESAGUADERO,-16.61986034699993,-69.12710279399994,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2568570,"RENOVACION DE SISTEMA DE BOMBEO EN UN  (A) CAPTACION  DE AGUA  EN EL LUGAR DENOMINADO TOCCOSI DE LA COMUNIDAD DE SANCAYUNI, DISTRITO DE AMANTANI, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,AMANTANI,-15.655537265158294,-69.6985799273747,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2712033,"CREACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN LOS SECTORES DE SAN MIGUEL, SACANATA Y MARTINA URO DEL   DISTRITO DE TARACO DE LA PROVINCIA DE HUANCANE DEL DEPARTAMENTO DE PUNO",HUANCANE,TARACO,-15.303784619334609,-69.97048398406865,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2147702,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS EN LA COMUNIDAD DE YANICO CUTURI, DISTRITO DE ARAPA - AZANGARO - PUNO",AZANGARO,ARAPA,-15.1391169,-70.1095722,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2317160,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO RURAL EN EL SECTOR QUITA DE LA COMUNIDAD DE HUATAQUITA, DISTRITO DE CABANILLAS - SAN ROMAN - PUNO",SAN ROMAN,CABANILLAS,-15.8266778,-70.6433537,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2225744,"MEJORAMIENTO Y AMPLIACION DE  SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE Y TRATAMIENTO DE EXCRETAS EN LA COMUNIDAD  CAMPESINA DE HUANCASAYANI, DISTRITO DE CUYOCUYO - SANDIA - PUNO",SANDIA,CUYOCUYO,-14.4700389,-69.5369258,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2468486,CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN EL CIRCUITO DE ISLAS FLOTANTES ISLA CAPPI LOS UROS DEL DISTRITO DE HUATA - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO,PUNO,HUATA,-15.642445231395588,-69.92413381010262,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2277060,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE SANEAMIENTO BÁSICO INTEGRAL EN LA COMUNIDAD CAMPESINA DE CCATUYO CONDORIRI, DISTRITO DE SAN ANTON - AZANGARO - PUNO",AZANGARO,SAN ANTON,-14.5196208,-70.2502627,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2276287,"INSTALACION DEL SISTEMA DE SERVICIOS DE AGUA POTABLE Y LETRINAS SANITARIAS CON ARRASTRE HIDRAULICO Y BIODIGESTOR EN EL SECTOR HUAMACUNCA, DISTRITO DE SANTA ROSA - MELGAR - PUNO",MELGAR,SANTA ROSA,-14.5769082,-70.9214726,APROXIMADA_LOCALIDAD,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2444510,"MEJORAMIENTO DEL SERVICIO DE DRENAJE PLUVIAL EN LOS BARRIOS DE MIRAFLORES, SAN MARTÍN DE PORRES, SAN SEBASTIÁN Y PANAMERICANA NORTE DE LA LOCALIDAD DE ZEPITA DEL DISTRITO DE ZEPITA - PROVINCIA DE CHUCUITO - DEPARTAMENTO DE PUNO",CHUCUITO,ZEPITA,-16.4968281,-69.10298,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
